,type_id,groupID,typeName,packagedVolume
2,3,3,Region,1.0
3,4,4,Constellation,1.0
4,5,5,Solar System,1.0
5,6,6,Sun G5 (Yellow),1.0
6,7,6,Sun K7 (Orange),1.0
7,8,6,Sun K5 (Red Giant),1.0
8,9,6,Sun B0 (Blue),1.0
9,10,6,Sun F0 (White),1.0
10,11,7,Planet (Temperate),1.0
11,12,7,Planet (Ice),1.0
12,13,7,Planet (Gas),1.0
13,14,8,Moon,1.0
14,15,9,Asteroid Belt,1.0
15,16,10,Stargate (Caldari System),10000000.0
16,17,10,Stargate (Amarr Constellation),100000000.0
17,18,458,Plagioclase,0.35
18,19,461,Spodumain,16.0
19,20,457,Kernite,1.2
20,21,454,Hedbergite,3.0
21,22,450,Arkonor,16.0
22,23,12,Cargo Container,27500.0
23,24,13,Ring,1.0
24,25,14,Corpse Male,2.0
25,26,16,Office Folder,1.0
26,27,16,Office,1.0
27,28,16,Factory Folder,1.0
30,34,18,Tritanium,0.01
31,35,18,Pyerite,0.01
32,36,18,Mexallon,0.01
33,37,18,Isogen,0.01
34,38,18,Nocxium,0.01
35,39,18,Zydrine,0.01
36,40,18,Megacyte,0.01
37,41,280,Garbage,0.25
38,42,280,Spiced Wine,0.5
39,43,280,Antibiotics,0.2
40,44,1034,Enriched Uranium,1.5
41,45,281,Frozen Plant Seeds,0.5
47,54,15,Caldari Logistics Station,1.0
48,56,15,Gallente Military Station,1.0
49,57,15,Gallente Station Hub,1.0
50,58,15,C-O-1,1.0
51,59,15,C-O-2,1.0
52,60,1319,Asset Safety Wrap,1.0
53,164,23,Clone Grade Alpha,1.0
54,165,23,Clone Grade Beta,1.0
55,166,23,Clone Grade Gamma,1.0
56,178,83,Carbonized Lead S,0.0025
57,179,83,Nuclear S,0.0025
58,180,83,Proton S,0.0025
59,181,83,Depleted Uranium S,0.0025
60,182,83,Titanium Sabot S,0.0025
61,183,83,Fusion S,0.0025
62,184,83,Phased Plasma S,0.0025
63,185,83,EMP S,0.0025
64,186,83,Carbonized Lead M,0.0125
65,187,83,Nuclear M,0.0125
66,188,83,Proton M,0.0125
67,189,83,Depleted Uranium M,0.0125
68,190,83,Titanium Sabot M,0.0125
69,191,83,Fusion M,0.0125
70,192,83,Phased Plasma M,0.0125
71,193,83,EMP M,0.0125
72,194,83,Carbonized Lead L,0.025
73,195,83,Nuclear L,0.025
74,196,83,Proton L,0.025
75,197,83,Depleted Uranium L,0.025
76,198,83,Titanium Sabot L,0.025
77,199,83,Fusion L,0.025
78,200,83,Phased Plasma L,0.025
79,201,83,EMP L,0.025
80,202,386,Mjolnir Cruise Missile,0.05
81,203,386,Scourge Cruise Missile,0.05
82,204,386,Inferno Cruise Missile,0.05
83,205,386,Nova Cruise Missile,0.05
84,206,385,Nova Heavy Missile,0.03
85,207,385,Mjolnir Heavy Missile,0.03
86,208,385,Inferno Heavy Missile,0.03
87,209,385,Scourge Heavy Missile,0.03
88,210,384,Scourge Light Missile,0.015
89,211,384,Inferno Light Missile,0.015
90,212,384,Mjolnir Light Missile,0.015
91,213,384,Nova Light Missile,0.015
92,215,85,Iron Charge S,0.0025
93,216,85,Tungsten Charge S,0.0025
94,217,85,Iridium Charge S,0.0025
95,218,85,Lead Charge S,0.0025
96,219,85,Thorium Charge S,0.0025
97,220,85,Uranium Charge S,0.0025
98,221,85,Plutonium Charge S,0.0025
99,222,85,Antimatter Charge S,0.0025
100,223,85,Iron Charge M,0.0125
101,224,85,Tungsten Charge M,0.0125
102,225,85,Iridium Charge M,0.0125
103,226,85,Lead Charge M,0.0125
104,227,85,Thorium Charge M,0.0125
105,228,85,Uranium Charge M,0.0125
106,229,85,Plutonium Charge M,0.0125
107,230,85,Antimatter Charge M,0.0125
108,231,85,Iron Charge L,0.025
109,232,85,Tungsten Charge L,0.025
110,233,85,Iridium Charge L,0.025
111,234,85,Lead Charge L,0.025
112,235,85,Thorium Charge L,0.025
113,236,85,Uranium Charge L,0.025
114,237,85,Plutonium Charge L,0.025
115,238,85,Antimatter Charge L,0.025
116,239,86,Radio S,1.0
117,240,86,Microwave S,1.0
118,241,86,Infrared S,1.0
119,242,86,Standard S,1.0
120,243,86,Ultraviolet S,1.0
121,244,86,Xray S,1.0
122,245,86,Gamma S,1.0
123,246,86,Multifrequency S,1.0
124,247,86,Radio M,1.0
125,248,86,Microwave M,1.0
126,249,86,Infrared M,1.0
127,250,86,Standard M,1.0
128,251,86,Ultraviolet M,1.0
129,252,86,Xray M,1.0
130,253,86,Gamma M,1.0
131,254,86,Multifrequency M,1.0
132,255,86,Radio L,1.0
133,256,86,Microwave L,1.0
134,257,86,Infrared L,1.0
135,258,86,Standard L,1.0
136,259,86,Ultraviolet L,1.0
137,260,86,Xray L,1.0
138,261,86,Gamma L,1.0
139,262,86,Multifrequency L,1.0
140,263,87,Cap Booster 25,1.0
141,264,87,Cap Booster 50,2.0
142,265,1158,Heavy Defender Missile I,0.03
143,266,387,Scourge Rocket,0.005
144,267,89,Scourge Torpedo,0.05
145,269,394,Mjolnir Auto-Targeting Light Missile I,0.015
146,270,92,Python Mine,0.15
147,377,38,Small Shield Extender I,5.0
148,380,38,Small Shield Extender II,5.0
149,393,39,Shield Recharger I,5.0
